Expression	Familiarity	Transparency	MC_Correct
op zijn duim kunnen fluiten	1.17	1.22	0.22
varkensvlees onder de arm hebben	1.19	2.06	0.38
door de wol geverfd zijn	1.24	1.48	0.67
iemand de ijzers aanleggen	1.24	2.14	0.67
boter op zijn hoofd hebben	1.25	1.91	0.53
iemand het net over het hoofd halen	1.28	2.53	0.72
iets onder de pet houden	1.3	3.27	0.97
goed beslagen ten ijs komen	1.36	2.82	0.89
door de wol geverfd zijn	1.38	1.52	0.57
een wassen neus	1.39	1.57	0.25
het is lood om oud ijzer	1.39	2.89	0.82
het hoofd in de schoot leggen	1.42	2.79	0.82
ergens munt uit slaan	1.43	2.9	1
in het geweer komen	1.46	2.39	0.71
iemand van het hoofd tot de voeten meten	1.47	3.03	0.27
de ijzers onderbinden	1.48	3.95	0.29
de stal ruiken	1.5	2.3	0.55
het schip ingaan	1.52	1.38	0.19
het kind van de rekening zijn	1.52	2.9	0.97
op de kast zitten	1.58	1.9	0.77
iemand in de wielen rijden	1.58	3.48	0.94
iemand iets in de maag splitsen	1.6	1.83	0.23
een stalen voorhoofd hebben	1.6	2.33	0.47
het lek boven water hebben	1.61	2.89	0.79
op de tocht staan	1.63	2.37	0.9
iets op stal zetten	1.63	3.1	0.7
uit het lood geslagen zijn	1.67	2	0.95
een hoge borst opzetten	1.68	2.77	0.82
los zand zijn	1.69	3.41	0.76
iemand de kroon van het hoofd nemen	1.7	2.7	0.47
de kat op het spek binden	1.71	2.29	0.5
een stille dood sterven	1.71	2.76	0.62
lange tenen hebben	1.77	2.13	0.83
aan lager wal raken	1.77	2.7	0.9
iemand een rad voor de ogen draaien	1.77	2.87	1
de eerste viool spelen	1.79	3.08	0.79
uit de lucht gegrepen	1.83	2.48	0.43
hartzeer van iets hebben	1.83	3.03	0.87
iets aan je broek krijgen	1.85	2.85	0.88
iemand het vuur na aan de schenen leggen	1.86	2.96	1
een gele kaart krijgen	1.86	3.73	0.95
op zijn achterste benen staan	1.9	2.62	0.67
weten/voelen waar de schoen wringt	1.9	3.8	0.95
zwaar op de hand zijn	1.91	2.16	0.47
iets met de Franse slag doen	1.93	2.25	0.64
niets om het lijf hebben	1.93	2.59	0.59
op zijn achterste poten gaan staan	1.95	2.27	0.64
van zijn paard gevallen zijn	1.95	2.9	0.67
iets met argusogen bekijken	1.96	2.74	0.87
iets in de wind slaan	1.97	2.22	0.66
op de fles gaan	1.97	2.28	0.69
iemand in de kaart spelen	2	2.06	0.42
op zijn strepen staan	2	2.37	0.87
de boot missen	2.03	3.26	0.87
je gewicht in goud waard zijn	2.04	2.52	0.87
iets soldaat maken	2.06	1.48	0.52
veel voeten in de aarde hebben	2.06	2.13	0.28
veel noten op zijn zang hebben	2.06	2.21	0.85
iemand in de kaart spelen2	2.09	2.09	0.47
een slag om de arm houden	2.09	2.21	0.73
uit de school klappen	2.1	1.55	0.61
de boeken sluiten	2.1	1.67	0.23
de wind eronder hebben	2.1	1.7	0.15
het op zijn heupen hebben	2.1	1.94	0.29
tegen het plafond zitten	2.1	2.45	0.45
iemand een poot uitdraaien	2.1	2.55	0.8
iets stuit iemand tegen de borst	2.11	3	1
de duimen draaien	2.13	1.91	0.17
iemand een loer draaien	2.13	2.35	0.97
iemand de wind uit de zeilen nemen	2.13	3.61	0.43
de lakens uitdelen	2.15	3.25	0.75
ergens een mouw aan passen	2.17	2.63	0.75
iemand de oren van het hoofd eten	2.17	3.2	0.4
geen hemd aan het lijf hebben	2.17	3.7	0.93
iets uit de grond stampen	2.18	2.5	0.73
het hoofd buigen	2.18	3.09	0.61
geen voet aan de grond krijgen	2.26	2.7	0.7
ergens geen lijn in kunnen ontdekken	2.26	3.13	0.96
boter bij de vis	2.28	1.31	0.24
het veld ruimen		3.19	0.81
iets in een andere vorm gieten	2.29	3.63	0.96
de neuzen tellen	2.29	4.19	0.95
iemand onder de tafel kletsen	2.3	2.83	0.9
het op zijn heupen krijgen	2.32	1.65	0.48
van de regen in de drup raken	2.32	2.86	0.77
iemand aan zijn jasje trekken	2.33	2.88	0.88
op rozen zitten	2.33	3.67	0.95
met een been in het graf staan	2.33	4	0.9
iemand op de hak nemen	2.34	2.72	0.76
zo groen als gras zijn	2.35	2	0.45
in het stof bijten	2.35	2	0.58
zich op de borst kloppen	2.35	3.13	0.91
iemand/iets tot in de wolken verheffen	2.35	3.75	0.9
iets van stal halen	2.36	3.5	0.91
iemand onder de tafel drinken	2.38	3	0.76
iemand van haver tot gort kennen	2.38	3.69	0.97
over het paard getild zijn	2.39	2.39	0.74
tussen wal en schip terechtkomen	2.39	2.73	0.39
het leven laten	2.39	3.91	0.78
zich in de handen wrijven	2.43	2.38	0.81
iemand in een hoek drukken	2.43	3.04	0.71
het zet geen zoden aan de dijk	2.43	3.14	0.89
iets op je lever hebben	2.48	1.97	0.84
van wal steken	2.48	2.76	0.86
