Carrots	Orangeness
20	188.7333217738
25	243.0039534931
27	159.6475950951
6	284.0157608504
42	474.9060600124
55	655.3898126119
18	143.7827555759
2	321.3303681364
14	202.1679214299
23	224.2482422528
52	583.1446254948
19	169.7536936716
55	581.5445149659
1	271.6641167247
6	181.3006254744
43	361.0113559985
8	100.8814569093
33	384.9883115874
56	473.0831813584
12	165.750114908
46	424.0396731928
27	256.1652069372
1	158.978397307
27	186.8983906074
11	245.1957205966
33	329.6848280173
34	305.765012897
45	558.0743888987
5	304.8030992533
53	509.0122835796
39	434.4833350827
19	279.7156489414
3	220.154320149
54	553.9949904312
36	394.1697951944
52	561.4433280185
9	187.6439912012
29	347.4192296581
44	393.4441559918
46	416.0055050078
9	298.0717854689
54	554.6765629184
23	315.9012816966
60	710.0865845836
41	317.3209231286
18	148.4308772536
54	589.0467652997
29	351.1838933356
45	548.2027150903
38	267.6325655882
21	200.2953996699
3	281.1576614227
55	639.0455390825
22	326.8364939697
18	284.5445619475
60	653.9722643444
25	214.8451928095
26	238.5482065562
35	372.8737926015
60	630.039151195
49	558.0773608293
46	478.3309207422
4	124.2707828252
53	583.8131882891
23	115.969556225
20	229.6310958584
43	528.5684594179
27	266.3537251144
25	323.2485292072
16	299.5414313958
18	113.7466081526
23	180.4657914531
4	286.3768909738
7	300.8526514635
52	466.9320529199
44	556.3134999007
17	146.6882588263
56	622.4302779964
37	376.0090722894
37	345.0839039816
28	244.4719247628
9	198.549547834
43	357.9791707289
34	293.8146645267
48	399.2112632378
59	623.7618373594
6	104.2884356585
12	172.9110954738
47	405.2231018899
3	192.7637624524
9	122.9393672973
55	652.5283935352
5	140.1788484629
50	479.2311462709
2	238.0149430402
17	250.3112745753
57	590.3738694852
33	350.7343101971
47	557.5113224135
33	290.8488568793
28	251.6192007008
43	427.709994424
33	333.5730587903
9	102.3487940063
48	455.8966161564
54	513.2496291427
14	161.2221578951
22	274.8208321899
13	297.6260212363
26	296.3273782328
6	99.5897134263
11	206.5701633861
28	366.4096581886
29	205.7839191632
17	183.9222065741
59	615.9291870449
21	425.5888334045
36	422.992062368
49	519.3397986231
20	291.5060638283
9	178.4326621386
30	250.6962451029
49	509.1772433829
53	588.0597490236
49	585.0762051107
18	158.8667602048
31	286.417674053
52	522.3904614819
59	654.3591644388
37	332.680298298
30	262.1405037584
9	229.2312647984
55	543.6537698609
13	330.3306645645
11	209.6306501844
4	123.8425040561
36	397.752295541
25	217.9258985669
47	361.1878380394
8	224.2215434204
19	72.6056367028
18	282.6413483269
45	388.003341888
36	461.4325889213
45	511.1739156124
1	263.4695415176
2	2.6258964625
42	342.1687554436
29	337.95224294
45	418.7348432366
2	130.7566880062
50	495.6200549518
16	150.8133605267
51	580.5294072746
17	215.9449343812
35	236.1842967746
14	202.3071075645
9	67.1509848111
43	404.1687901636
15	254.2526019651
43	404.1748791691
18	186.4328380086
45	444.842530479
6	190.6909627927
24	293.250421974
53	475.7182024319
16	81.1604945354
44	261.5949606327
39	239.0987948137
34	353.6626556514
54	541.879527509
57	700.6319526056
27	231.0431295752
45	504.1063717873
4	118.7636741557
19	244.321565573
35	312.5603516509
58	562.2207830515
39	313.436961944
44	351.9598042222
17	263.2728855275
2	137.2883771226
15	287.3802396076
9	183.7285757203
49	502.4950796595
15	335.2309430096
25	302.53163985
27	261.9140955043
36	390.0547504533
18	210.4943495302
12	321.7835253406
48	540.0303932393
12	166.9863840951
31	344.9596836254
24	310.9217808132
53	515.4639467482
34	394.6364928447
18	374.6043565895
43	371.8195021795
54	728.0403686513
